gene_chrom	gene_start	gene_end	gene	TAD_chrom	TAD_bp1	TAD_bp2	TAD_ID
chr1	54756898	54764523	PARS2	chr1	54500000	54830000	TAD_1565
chr1	54756898	54764523	PARS2	chr1	54670000	54810000	TAD_1620
chr1	62194849	62212328	L1TD1	chr1	62170000	62410000	TAD_1411
chr1	54715861	54742657	TTC4	chr1	54500000	54830000	TAD_1565
chr1	54715861	54742657	TTC4	chr1	54670000	54810000	TAD_1620
chr1	42176539	42335877	FOXJ3	chr1	42170000	42330000	TAD_1600
chr1	52408282	52553487	TUT4	chr1	52400000	52690000	TAD_1587
chr1	59987269	60073770	C1orf87	chr1	59960000	60820000	TAD_1270
chr1	62236165	62319434	KANK4	chr1	62170000	62410000	TAD_1411
chr1	62597520	62606313	ANGPTL3	chr1	62520000	62770000	TAD_1292
chr1	65248219	65415871	DNAJC6	chr1	65230000	65410000	TAD_1572
chr1	64470129	64693058	CACHD1	chr1	64260000	64680000	TAD_1345
chr1	64470129	64693058	CACHD1	chr1	64460000	64660000	TAD_1598
chr1	76867480	77067546	ST6GALNAC5	chr1	76860000	77120000	TAD_1439
chr1	38874069	38881587	GJA9	chr1	38850000	39080000	TAD_1465
chr1	54641754	54710266	MROH7	chr1	54500000	54830000	TAD_1565
chr1	52404602	52420836	PRPF38A	chr1	52400000	52690000	TAD_1587
chr1	77088989	77219430	PIGK	chr1	76860000	77120000	TAD_1439
chr1	52633168	52669683	SHISAL2A	chr1	52400000	52690000	TAD_1587
chr1	52602371	52609051	GPX7	chr1	52400000	52690000	TAD_1587
chr1	94820342	94895246	SLC44A3	chr1	94820000	95050000	TAD_1378
chr1	88684222	88836255	PKN2	chr1	88640000	88890000	TAD_1349
chr1	94974405	95072951	ALG14	chr1	94820000	95050000	TAD_1378
chr1	77562416	77683419	ZZZ3	chr1	77530000	77680000	TAD_1601
chr1	43269983	43274002	TMEM125	chr1	43220000	43440000	TAD_1520
chr1	93561741	93847150	BCAR3	chr1	93420000	93860000	TAD_1298
chr1	94896949	94927223	CNN3	chr1	94820000	95050000	TAD_1378
chr1	95117355	95197607	TLCD4	chr1	95070000	95240000	TAD_1376
chr1	89821014	89936611	LRRC8D	chr1	89800000	89990000	TAD_1361
chr1	101236865	101243713	S1PR1	chr1	100900000	101300000	TAD_1356
chr1	94148988	94275068	ARHGAP29	chr1	94020000	94330000	TAD_1337
chr1	52684449	52698347	COA7	chr1	52400000	52690000	TAD_1587
chr1	91680343	91906335	TGFBR3	chr1	91510000	91920000	TAD_1437
chr1	43389882	43454247	SZT2	chr1	43220000	43440000	TAD_1520
chr1	94529173	94541759	F3	chr1	94480000	94800000	TAD_1426
chr1	100719742	100739045	VCAM1	chr1	100460000	100870000	TAD_1305
chr1	100538139	100542021	GPR88	chr1	100460000	100870000	TAD_1305
chr1	95234210	95247225	RWDD3	chr1	95070000	95240000	TAD_1376
chr1	117367449	117528872	MAN1A2	chr1	117310000	117510000	TAD_1362
chr1	112396214	112463456	CTTNBP2NL	chr1	112380000	112710000	TAD_1350
chr1	115048011	115089503	TSPAN2	chr1	114970000	115110000	TAD_1557
chr1	99969351	100035634	SLC35A3	chr1	99780000	100450000	TAD_1283
chr1	99850361	99924023	AGL	chr1	99780000	100450000	TAD_1283
chr1	119414931	119423035	HSD3B2	chr1	117990000	119730000	TAD_1262
chr1	116909916	116990353	PTGFRN	chr1	116700000	117050000	TAD_1328
chr1	116909916	116990353	PTGFRN	chr1	116850000	117050000	TAD_1538
chr1	117606048	117628389	TENT5C	chr1	117530000	117750000	TAD_1508
chr1	115029826	115034302	TSHB	chr1	114970000	115110000	TAD_1557
chr1	115976513	116070054	SLC22A15	chr1	115790000	116040000	TAD_1402
chr1	151156664	151170296	SCNM1	chr1	151010000	151180000	TAD_1617
chr1	152302165	152325239	FLG	chr1	152050000	153320000	TAD_1259
chr1	100345001	100520277	CDC14A	chr1	99780000	100450000	TAD_1283
chr1	152348735	152360006	FLG2	chr1	152050000	153320000	TAD_1259
chr1	151070578	151125542	GABPB2	chr1	151010000	151180000	TAD_1617
chr1	151159748	151165948	LYSMD1	chr1	151010000	151180000	TAD_1617
chr1	116754430	116769229	CD2	chr1	116700000	117050000	TAD_1328
chr1	88852633	88891944	GTF2B	chr1	88640000	88890000	TAD_1349
chr1	160081538	160090563	KCNJ9	chr1	160080000	160360000	TAD_1524
chr1	109910242	109930992	CSF1	chr1	109780000	109990000	TAD_1480
chr1	151156649	151159749	TNFAIP8L2	chr1	151010000	151180000	TAD_1617
chr1	160091340	160098943	IGSF8	chr1	160080000	160360000	TAD_1524
chr1	167916675	167937072	MPC2	chr1	167710000	168100000	TAD_1297
chr1	169662007	169854080	FIRRM	chr1	169570000	169820000	TAD_1455
chr1	183023420	183145592	LAMC1	chr1	182950000	183230000	TAD_1433
chr1	165631213	165661796	MGST3	chr1	165600000	165910000	TAD_1383
chr1	160190575	160201886	CASQ1	chr1	160080000	160360000	TAD_1524
chr1	169132531	169367948	NME7	chr1	168590000	169360000	TAD_1281
chr1	167630093	167708696	RCSD1	chr1	167560000	167700000	TAD_1504
chr1	165827614	165911618	UCK2	chr1	165600000	165910000	TAD_1383
chr1	167220876	167427345	POU2F1	chr1	167210000	167540000	TAD_1329
chr1	169921326	170085208	KIFAP3	chr1	169830000	171330000	TAD_1261
chr1	169921326	170085208	KIFAP3	chr1	169900000	170940000	TAD_1274
chr1	118883046	118989556	TBX15	chr1	117990000	119730000	TAD_1262
chr1	160678746	160711831	CD48	chr1	160670000	160970000	TAD_1341
chr1	165400922	165445355	RXRG	chr1	165380000	165580000	TAD_1413
chr1	160115759	160143591	ATP1A2	chr1	160080000	160360000	TAD_1524
chr1	169792529	169794963	METTL18	chr1	169570000	169820000	TAD_1455
chr1	200623896	200669907	DDX59	chr1	200610000	200850000	TAD_1371
chr1	184790724	184974508	NIBAN1	chr1	184790000	184980000	TAD_1399
chr1	183186238	183245127	LAMC2	chr1	182950000	183230000	TAD_1433
chr1	167052836	167166479	GPA33	chr1	166900000	167060000	TAD_1602
chr1	169849631	169894267	SCYL3	chr1	169830000	171330000	TAD_1261
chr1	221701424	221742089	DUSP10	chr1	221540000	221750000	TAD_1558
chr1	160796074	160828261	LY9	chr1	160670000	160970000	TAD_1341
chr1	246540561	246566261	TFB2M	chr1	246500000	246700000	TAD_1444
chr1	167721192	167791919	MPZL1	chr1	167710000	168100000	TAD_1297
chr1	211940399	212035557	INTS7	chr1	211680000	212000000	TAD_1400
chr1	173477330	173488815	PRDX6	chr1	173430000	173820000	TAD_1293
chr1	236348257	236502915	EDARADD	chr1	236100000	236510000	TAD_1342
chr1	167809386	167914215	ADCY10	chr1	167710000	168100000	TAD_1297
chr1	169722640	169764705	SELE	chr1	169570000	169820000	TAD_1455
chr1	217426992	217631090	GPATCH2	chr1	215970000	218200000	TAD_1260
chr1	169690665	169711702	SELL	chr1	169570000	169820000	TAD_1455
chr1	168695468	168729206	DPT	chr1	168590000	169360000	TAD_1281
chr1	228735479	228746664	RHOU	chr1	228650000	229230000	TAD_1417
chr1	217631324	217871696	SPATA17	chr1	215970000	218200000	TAD_1260
chr1	170662728	170739421	PRRX1	chr1	169830000	171330000	TAD_1261
chr1	170662728	170739421	PRRX1	chr1	169900000	170940000	TAD_1274
chr1	246566444	246668595	CNST	chr1	246500000	246700000	TAD_1444
chr1	204073115	204127743	SOX13	chr1	203860000	204130000	TAD_1537
chr1	235975830	236065109	NID1	chr1	235820000	235980000	TAD_1606
chr1	227563543	227677443	ZNF678	chr1	227490000	227720000	TAD_1418
chr1	173500460	173603072	SLC9C2	chr1	173430000	173820000	TAD_1293
chr1	244653103	244709033	DESI2	chr1	244590000	244790000	TAD_1502
chr1	245154985	245709432	KIF26B	chr1	245110000	246000000	TAD_1285
chr1	211658657	211675630	NEK2	chr1	211510000	211660000	TAD_1496
chr1	229271062	229305894	RAB4A	chr1	229250000	229490000	TAD_1420
chr1	235109341	235128837	TOMM20	chr1	235100000	235450000	TAD_1367
chr1	175944831	176207286	COP1	chr1	175360000	176220000	TAD_1268
chr1	160739057	160754821	SLAMF7	chr1	160670000	160970000	TAD_1341
chr1	218345336	218444619	TGFB2	chr1	218330000	218530000	TAD_1464
chr1	171314183	171342084	FMO4	chr1	169830000	171330000	TAD_1261
chr1	160151586	160186980	ATP1A4	chr1	160080000	160360000	TAD_1524
chr1	230057990	230282122	GALNT2	chr1	229630000	230310000	TAD_1387
chr1	171248471	171285978	FMO1	chr1	169830000	171330000	TAD_1261
chr1	235547685	235650754	GNG4	chr1	235510000	235970000	TAD_1300
chr1	204617170	204685738	LRRN2	chr1	204560000	204780000	TAD_1573
chr1	212285410	212361853	PPP2R5A	chr1	212050000	212450000	TAD_1365
chr1	244352635	244389663	SPMIP3	chr1	244290000	244450000	TAD_1493
chr1	212830141	212847649	SPATA45	chr1	212800000	213000000	TAD_1527
chr1	211743457	211830763	LPGAT1	chr1	211680000	212000000	TAD_1400
chr1	211743457	211830763	LPGAT1	chr1	211690000	211820000	TAD_1483
chr1	169588849	169630193	SELP	chr1	169570000	169820000	TAD_1455
chr1	209583714	209613939	CAMK1G	chr1	209570000	209770000	TAD_1404
chr1	209614870	209652425	LAMB3	chr1	209570000	209770000	TAD_1404
chr1	17539698	17697874	ARHGEF10L	chr1	17410000	17640000	TAD_1494
chr1	162069691	162370475	NOS1AP	chr1	162060000	162280000	TAD_1515
chr1	212992182	213015867	ANGEL2	chr1	212800000	213000000	TAD_1527
chr1	177170958	177282422	BRINP2	chr1	176890000	177190000	TAD_1505
chr1	198156994	198322420	NEK7	chr1	198080000	198360000	TAD_1372
chr1	173608336	173669851	ANKRD45	chr1	173430000	173820000	TAD_1293
chr1	229440259	229508341	NUP133	chr1	229250000	229490000	TAD_1420
chr1	192575763	192580024	RGS1	chr1	192460000	192600000	TAD_1332
chr1	212858275	212899363	FLVCR1	chr1	212800000	213000000	TAD_1527
chr1	244408494	244451909	ADSS2	chr1	244290000	244450000	TAD_1493
chr1	180269653	180502954	ACBD6	chr1	180240000	180480000	TAD_1368
chr1	112523514	112620825	ST7L	chr1	112380000	112710000	TAD_1350
chr1	180632022	180890279	XPR1	chr1	180500000	180850000	TAD_1452
chr1	167094075	167129165	STYXL2	chr1	167070000	167210000	TAD_1626
chr1	200404940	200410056	ZNF281	chr1	200280000	200500000	TAD_1499
chr1	166975582	167022214	MAEL	chr1	166900000	167060000	TAD_1602
chr1	235131634	235328219	ARID4B	chr1	235100000	235450000	TAD_1367
chr1	112466541	112530165	WNT2B	chr1	112380000	112710000	TAD_1350
chr1	173635338	173637130	TEX50	chr1	173430000	173820000	TAD_1293
chr1	245749342	246507312	SMYD3	chr1	245110000	246000000	TAD_1285
chr1	173714941	173786692	KLHL20	chr1	173430000	173820000	TAD_1293
chr1	235131183	235161283	RBM34	chr1	235100000	235450000	TAD_1367
chr1	182398117	182400667	TEDDM1	chr1	182080000	182400000	TAD_1416
chr1	20482391	20486210	CAMK2N1	chr1	20210000	20490000	TAD_1607
chr1	20552573	20555020	FAM43B	chr1	20510000	20660000	TAD_1406
chr1	20589086	20618903	CDA	chr1	20510000	20660000	TAD_1406
chr1	20633458	20651511	PINK1	chr1	20510000	20660000	TAD_1406
chr1	23778418	23788232	PITHD1	chr1	23760000	24060000	TAD_1429
chr1	23791145	23795539	LYPLA2	chr1	23760000	24060000	TAD_1429
chr1	23795599	23800781	GALE	chr1	23760000	24060000	TAD_1429
chr1	159780932	159782543	DUSP23	chr1	159780000	159900000	TAD_1506
chr1	159800511	159816257	FCRL6	chr1	159780000	159900000	TAD_1506
chr1	159826811	159837492	SLAMF8	chr1	159780000	159900000	TAD_1506
chr1	159854316	159862657	VSIG8	chr1	159780000	159900000	TAD_1506
chr1	159872364	159900165	CFAP45	chr1	159780000	159900000	TAD_1506
chr1	116372668	116410261	ATP1A1	chr1	116120000	116500000	TAD_1326
chr1	155063737	155069553	EFNA4	chr1	154900000	155080000	TAD_1623
chr1	155078837	155087538	EFNA3	chr1	154900000	155080000	TAD_1623
chr1	155234452	155244699	GBA1	chr1	155230000	155920000	TAD_1291
chr1	155255979	155262430	SCAMP3	chr1	155230000	155920000	TAD_1291
chr1	155255979	155262430	SCAMP3	chr1	155240000	155610000	TAD_1396
chr1	155262868	155278491	CLK2	chr1	155230000	155920000	TAD_1291
chr1	155262868	155278491	CLK2	chr1	155240000	155610000	TAD_1396
chr1	155277463	155289848	HCN3	chr1	155230000	155920000	TAD_1291
chr1	155277463	155289848	HCN3	chr1	155240000	155610000	TAD_1396
chr1	155289293	155301438	PKLR	chr1	155230000	155920000	TAD_1291
chr1	155289293	155301438	PKLR	chr1	155240000	155610000	TAD_1396
chr1	207880972	207911402	CD34	chr1	207820000	207990000	TAD_1424
chr1	203765177	203776372	LAX1	chr1	203490000	203810000	TAD_1445
chr1	203861599	203871152	SNRPE	chr1	203860000	204130000	TAD_1537
chr1	27935000	27959157	SMPDL3B	chr1	27710000	28220000	TAD_1317
chr1	27935000	27959157	SMPDL3B	chr1	27850000	27990000	TAD_1629
chr1	27959588	27968093	XKR8	chr1	27710000	28220000	TAD_1317
chr1	27959588	27968093	XKR8	chr1	27850000	27990000	TAD_1629
chr1	231018958	231040254	FAM89A	chr1	230790000	231220000	TAD_1431
chr1	45340052	45343973	TOE1	chr1	45330000	45490000	TAD_1414
chr1	45343883	45491163	TESK2	chr1	45330000	45490000	TAD_1414
chr1	155687960	155739010	DAP3	chr1	155230000	155920000	TAD_1291
chr1	155859567	155885199	SYT11	chr1	155230000	155920000	TAD_1291
chr1	155913045	155934413	KHDC4	chr1	155230000	155920000	TAD_1291
chr1	156242184	156243317	BGLAP	chr1	156070000	156330000	TAD_1576
chr1	156249224	156282825	SMG5	chr1	156070000	156330000	TAD_1576
chr1	156282935	156293185	TMEM79	chr1	156070000	156330000	TAD_1576
chr1	156308968	156367873	CCT3	chr1	156070000	156330000	TAD_1576
chr1	156072013	156082465	MEX3A	chr1	156070000	156330000	TAD_1576
chr1	47183582	47191044	PDZK1IP1	chr1	47170000	47370000	TAD_1333
chr1	156298624	156299307	VHLL	chr1	156070000	156330000	TAD_1576
chr1	165544000	165563957	LRRC52	chr1	165380000	165580000	TAD_1413
chr1	182378098	182392206	GLUL	chr1	182080000	182400000	TAD_1416
chr1	170145959	170168866	NTMT2	chr1	169830000	171330000	TAD_1261
chr1	170145959	170168866	NTMT2	chr1	169900000	170940000	TAD_1274
chr1	50024029	50203772	ELAVL4	chr1	48910000	50350000	TAD_1263
chr1	99703970	99766635	FRRS1	chr1	99490000	99730000	TAD_1407
chr1	69567922	70151945	LRRC7	chr1	68520000	69770000	TAD_1267
chr1	160205380	160215376	PEA15	chr1	160080000	160360000	TAD_1524
chr1	9234774	9271337	H6PD	chr1	8900000	9580000	TAD_1306
chr1	9234774	9271337	H6PD	chr1	9100000	9580000	TAD_1375
chr1	9234774	9271337	H6PD	chr1	9110000	9260000	TAD_1604
chr1	47438044	47440691	FOXD2	chr1	47430000	47720000	TAD_1511
chr1	20651767	20661544	DDOST	chr1	20510000	20660000	TAD_1406
chr1	59296638	59810647	FGGY	chr1	58720000	59770000	TAD_1286
chr1	20139323	20150381	PLA2G2F	chr1	19910000	20180000	TAD_1569
chr1	32885994	32898441	HPCA	chr1	32880000	33080000	TAD_1425
chr1	32894594	32901438	TMEM54	chr1	32880000	33080000	TAD_1425
chr1	40245947	40251684	TMCO2	chr1	40080000	40510000	TAD_1344
chr1	40258041	40294180	ZMPSTE24	chr1	40080000	40510000	TAD_1344
chr1	40300489	40317813	COL9A2	chr1	40080000	40510000	TAD_1344
chr1	40450102	40463718	ZFP69B	chr1	40080000	40510000	TAD_1344
chr1	44739818	44767767	KIF2C	chr1	44730000	45000000	TAD_1357
chr1	44775251	44778779	RPS8	chr1	44730000	45000000	TAD_1357
chr1	44783585	44788170	BEST4	chr1	44730000	45000000	TAD_1357
chr1	44800377	44805990	PLK3	chr1	44730000	45000000	TAD_1357
chr1	44819844	44843253	PTCH2	chr1	44730000	45000000	TAD_1357
chr1	44850522	44986722	EIF2B3	chr1	44730000	45000000	TAD_1357
chr1	6521347	6554513	NOL9	chr1	6470000	6670000	TAD_1525
chr1	6555307	6579755	TAS1R1	chr1	6470000	6670000	TAD_1525
chr1	6579994	6589280	ZBTB48	chr1	6470000	6670000	TAD_1525
chr1	89633072	89769903	LRRC8C	chr1	89470000	89770000	TAD_1318
chr1	89633072	89769903	LRRC8C	chr1	89630000	89770000	TAD_1541
chr1	22563489	22603595	EPHA8	chr1	22420000	22650000	TAD_1579
chr1	27773219	27824443	STX12	chr1	27710000	28220000	TAD_1317
chr1	27830782	27851676	PPP1R8	chr1	27710000	28220000	TAD_1317
chr1	27872543	27886685	THEMIS2	chr1	27710000	28220000	TAD_1317
chr1	27872543	27886685	THEMIS2	chr1	27850000	27990000	TAD_1629
chr1	27891524	27914746	RPA2	chr1	27710000	28220000	TAD_1317
chr1	27891524	27914746	RPA2	chr1	27850000	27990000	TAD_1629
chr1	17066761	17119451	PADI2	chr1	17060000	17360000	TAD_1296
chr1	17205128	17246007	PADI1	chr1	17060000	17360000	TAD_1296
chr1	17249098	17284233	PADI3	chr1	17060000	17360000	TAD_1296
chr1	222815022	223005995	DISP1	chr1	222780000	223090000	TAD_1314
chr1	119507198	119515054	HSD3B1	chr1	117990000	119730000	TAD_1262
chr1	119619377	119648266	ZNF697	chr1	117990000	119730000	TAD_1262
chr1	119648411	119744218	PHGDH	chr1	117990000	119730000	TAD_1262
chr1	235367360	235452443	TBCE	chr1	235100000	235450000	TAD_1367
chr1	235367360	235452443	TBCE	chr1	235210000	235470000	TAD_1295
chr1	153929501	153946718	DENND4B	chr1	153790000	153980000	TAD_1370
chr1	153947669	153958615	CRTC2	chr1	153790000	153980000	TAD_1370
chr1	153967534	153974361	CREB3L4	chr1	153790000	153980000	TAD_1370
chr1	153974269	153977674	JTB	chr1	153790000	153980000	TAD_1370
chr1	85249953	85259672	C1orf52	chr1	84940000	85260000	TAD_1322
chr1	85249953	85259672	C1orf52	chr1	85090000	85260000	TAD_1458
chr1	147629652	147670524	ACP6	chr1	147480000	147660000	TAD_1373
chr1	184387029	184629019	C1orf21	chr1	184230000	184690000	TAD_1360
chr1	110451149	110457358	PROK1	chr1	110160000	110490000	TAD_1398
chr1	110517217	110519175	KCNA10	chr1	110510000	110780000	TAD_1428
chr1	110519837	110631474	KCNA2	chr1	110510000	110780000	TAD_1428
chr1	155308748	155320666	FDPS	chr1	155230000	155920000	TAD_1291
chr1	155308748	155320666	FDPS	chr1	155240000	155610000	TAD_1396
chr1	44805893	44807351	DYNLT4	chr1	44730000	45000000	TAD_1357
chr1	215005775	215237090	KCNK2	chr1	214640000	215540000	TAD_1282
chr1	114089291	114153880	SYT6	chr1	113980000	114290000	TAD_1447
chr1	119031216	119140654	WARS2	chr1	117990000	119730000	TAD_1262
chr1	212363928	212414901	PACC1	chr1	212050000	212450000	TAD_1365
chr1	27725961	27763116	FAM76A	chr1	27710000	28220000	TAD_1317
chr1	156243320	156248117	PAQR6	chr1	156070000	156330000	TAD_1576
chr1	119368779	119394130	HAO2	chr1	117990000	119730000	TAD_1262
chr1	63440770	63593721	ITGB3BP	chr1	62830000	63490000	TAD_1272
chr1	110210314	110283100	KCNC4	chr1	110160000	110490000	TAD_1398
chr1	19814029	19815283	RNF186	chr1	19690000	19890000	TAD_1599
chr1	19882395	19912945	OTUD3	chr1	19690000	19890000	TAD_1599
chr1	19920009	19923617	PLA2G2E	chr1	19910000	20180000	TAD_1569
chr1	46545641	46551647	KNCN	chr1	46390000	46730000	TAD_1339
chr1	46545641	46551647	KNCN	chr1	46400000	46550000	TAD_1562
chr1	46557407	46616843	MKNK1	chr1	46390000	46730000	TAD_1339
chr1	43933320	43937240	ARTN	chr1	43750000	43950000	TAD_1475
chr1	43946950	43968022	IPO13	chr1	43750000	43950000	TAD_1475
chr1	152613811	152614098	LCE3B	chr1	152050000	153320000	TAD_1259
chr1	152622834	152623103	LCE3A	chr1	152050000	153320000	TAD_1259
chr1	152663380	152664659	LCE2D	chr1	152050000	153320000	TAD_1259
chr1	152686123	152687397	LCE2B	chr1	152050000	153320000	TAD_1259
chr1	152698345	152699442	LCE2A	chr1	152050000	153320000	TAD_1259
chr1	92029985	92063538	EPHX4	chr1	91970000	92290000	TAD_1307
chr1	1751232	1780457	NADK	chr1	1750000	1910000	TAD_1294
chr1	158254424	158258269	CD1A	chr1	158200000	159100000	TAD_1273
chr1	158289923	158294774	CD1C	chr1	158200000	159100000	TAD_1273
chr1	158327951	158331531	CD1B	chr1	158200000	159100000	TAD_1273
chr1	158353696	158357553	CD1E	chr1	158200000	159100000	TAD_1273
chr1	158398522	158399466	OR10T2	chr1	158200000	159100000	TAD_1273
chr1	206897443	206904139	IL24	chr1	206720000	206940000	TAD_1597
chr1	206903317	206923247	FCMR	chr1	206720000	206940000	TAD_1597
chr1	206928522	206946466	PIGR	chr1	206720000	206940000	TAD_1597
chr1	26280086	26281522	SH3BGRL3	chr1	26020000	26420000	TAD_1542
chr1	26317958	26320523	CD52	chr1	26020000	26420000	TAD_1542
chr1	26361634	26374522	ZNF683	chr1	26020000	26420000	TAD_1542
chr1	226061851	226072019	H3	chr1	226060000	226400000	TAD_1379
chr1	226144679	226186741	ACBD3	chr1	226060000	226400000	TAD_1379
chr1	226223618	226227060	MIXL1	chr1	226060000	226400000	TAD_1379
chr1	39491636	39529869	BMP8A	chr1	39090000	39560000	TAD_1312
chr1	39623435	39639643	HEYL	chr1	39580000	39730000	TAD_1571
chr1	39678648	39691485	HPCAL4	chr1	39580000	39730000	TAD_1571
chr1	150508062	150513789	ECM1	chr1	150350000	150530000	TAD_1544
chr1	150646230	150697154	GOLPH3L	chr1	150620000	151000000	TAD_1546
chr1	150698060	150720895	HORMAD1	chr1	150620000	151000000	TAD_1546
chr1	228149930	228159826	GJC2	chr1	228110000	228520000	TAD_1316
chr1	228165804	228182257	IBA57	chr1	228110000	228520000	TAD_1316
chr1	228393673	228406835	TRIM11	chr1	228110000	228520000	TAD_1316
chr1	228407935	228416861	TRIM17	chr1	228110000	228520000	TAD_1316
chr1	24356999	24416934	STPG1	chr1	24200000	24390000	TAD_1583
chr1	24415802	24472976	NIPAL3	chr1	24410000	24610000	TAD_1564
chr1	24502351	24541040	RCAN3	chr1	24410000	24610000	TAD_1564
chr1	24556087	24609328	NCMAP	chr1	24410000	24610000	TAD_1564
chr1	155335268	155563162	ASH1L	chr1	155230000	155920000	TAD_1291
chr1	155335268	155563162	ASH1L	chr1	155240000	155610000	TAD_1396
chr1	32205671	32208682	IQCC	chr1	32200000	32380000	TAD_1618
chr1	32247222	32248856	FAM167B	chr1	32200000	32380000	TAD_1618
chr1	32292083	32333635	HDAC1	chr1	32200000	32380000	TAD_1618
chr1	32333839	32336233	MARCKSL1	chr1	32200000	32380000	TAD_1618
chr1	32351521	32364312	TSSK3	chr1	32200000	32380000	TAD_1618
chr1	110362851	110391082	SLC16A4	chr1	110160000	110490000	TAD_1398
chr1	110401249	110407942	LAMTOR5	chr1	110160000	110490000	TAD_1398
chr1	29119429	29123903	TMEM200B	chr1	28880000	29220000	TAD_1473
chr1	29192657	29230942	MECR	chr1	28880000	29220000	TAD_1473
chr1	220879431	220885059	HLX	chr1	220860000	221210000	TAD_1442
chr1	220528136	220664461	MARK1	chr1	220270000	220670000	TAD_1301
chr1	111680630	111755824	INKA2	chr1	111460000	111750000	TAD_1363
chr1	161037631	161038977	TSTD1	chr1	160990000	161150000	TAD_1454
chr1	161039251	161045977	USF1	chr1	160990000	161150000	TAD_1454
chr1	161046946	161069970	ARHGAP30	chr1	160990000	161150000	TAD_1454
chr1	161070998	161089558	NECTIN4	chr1	160990000	161150000	TAD_1454
chr1	161098361	161100346	KLHDC9	chr1	160990000	161150000	TAD_1454
chr1	161100556	161118055	PFDN2	chr1	160990000	161150000	TAD_1454
chr1	161118086	161125445	NIT1	chr1	160990000	161150000	TAD_1454
chr1	161120974	161132688	DEDD	chr1	160990000	161150000	TAD_1454
chr1	226940286	226987544	COQ8A	chr1	226880000	227440000	TAD_1419
chr1	38991276	39006059	AKIRIN1	chr1	38850000	39080000	TAD_1465
